,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,Outlier
0,46684,1.258274933,0.419642956,0.322680126,0.683273876,-0.290156143,-1.049450234,0.14568922,-0.253355843,-0.100297008,-0.308271496,0.079130235,0.701107852,1.106580516,-0.46303285,0.997746544,0.438755535,-0.057510841,-0.405485961,-0.202168558,-0.025222199,-0.278142623,-0.758590516,0.118566544,0.363877302,0.246762862,0.091851468,-0.017234634,0.032571694,1.29,0,0
1,59545,1.205336191,-0.188705285,0.470476052,-0.055052975,-0.449002012,-0.140567934,-0.352878136,0.057460466,0.450082594,-0.215792225,-0.528572935,0.011884881,0.00552657,0.130164086,1.595574597,0.41517187,-0.321301394,-0.667403619,-0.202254281,-0.034887529,-0.188381073,-0.589599943,0.097971198,-0.424550212,-0.008761346,0.849221095,-0.053137306,0.010176083,31.75,0,0
2,72769,0.922982298,0.085148587,0.677405879,2.795936669,-0.389134356,-0.216776456,0.224959378,-0.083420871,-0.38045839,0.477489303,-0.871342925,0.237992929,0.038902351,-0.058660702,-0.704563913,0.188907547,-0.207236112,-0.659923753,-0.626226797,0.087261371,-0.146471208,-0.572753726,-0.089278131,0.37873405,0.450768912,-0.10489208,-0.020627008,0.044240771,129.18,0,0
3,35525,-0.370459761,0.762615908,3.009611831,2.950895324,-0.633632828,0.83148752,0.067950783,0.214963026,-0.724117184,0.827844756,0.825467733,-0.190300911,-1.154232297,-0.172552549,-0.125591673,-0.014170531,0.007382486,0.72906724,1.192337736,0.205874754,0.026249055,0.28629505,-0.077561185,0.508258643,-0.415282952,0.130752217,-0.015790855,-0.096883099,37.88,0,0
4,51934,1.129775479,0.148211591,0.856931059,1.261822403,-0.372326549,0.017964559,-0.160104113,0.053522388,0.430711978,-0.259313762,-0.327356353,1.088724098,0.802948281,-0.258566902,0.077245044,-0.498456454,0.116795754,-1.115501194,-0.313422398,-0.114393172,-0.299943119,-0.637897376,0.124379873,0.072462737,0.325671045,-0.614087559,0.068709412,0.032197729,12.99,0,0
5,135699,-0.254230564,0.864925276,-0.037172988,0.649767975,0.164337251,-0.577541969,1.741734838,-0.317266406,-0.297155242,-0.269191841,-1.309745007,-0.899488202,-1.736187024,0.707785203,-0.126166832,-0.5034588,-0.177234091,-0.223795882,0.061163893,-0.278406212,0.015947138,0.08100696,0.056865715,-0.082206778,-0.642065936,-0.796018695,0.149930542,0.186121465,144,0,0
6,78520,-5.196891956,4.318534401,-1.513883527,-2.278348954,-1.673020421,-0.560978136,-0.939486144,1.773962559,2.680303156,4.039392365,0.994136702,0.952521941,-0.514131354,0.008423574,0.289433193,0.680264408,-0.389612702,-0.295261472,-1.237289872,1.854393206,-0.421309465,-0.552689547,0.327227183,-0.358888067,0.61049549,0.840356081,1.583145314,0.892902759,3.84,0,0
7,157373,0.736497131,-1.209004358,2.327193475,-0.295309024,-2.129113232,0.943270003,-1.746227877,0.054017649,-0.454928364,1.530693677,-1.610431308,-0.089718898,1.860614921,-2.241217284,-1.007803146,-2.080020752,1.713720312,0.538893238,2.756682062,0.089916874,0.082371056,1.544413536,0.106527575,0.153698478,-1.755117162,0.226173239,0.319966359,0.093665086,12.9,0,0
8,164684,-0.385450721,0.672830742,0.987344315,-0.948937664,0.74048719,-0.15009535,1.075317427,-0.279940007,0.370105569,-0.805036686,-1.197743002,-0.195123747,-0.466085204,-0.301547773,-0.500680832,-0.744651848,-0.157818885,-0.322571989,0.258579646,-0.047131807,0.008414151,0.307288109,-0.567813913,0.657005548,1.060964086,0.270907645,-0.389675235,-0.300018618,10,0,0
9,63653,0.961936197,-1.865976544,0.525449265,-1.262633899,-1.866708712,-0.174023159,-1.008186933,0.084907768,-1.918779206,1.45687042,1.536407349,-0.432006142,-0.394950611,0.072269523,0.410572471,-0.274971588,0.580666253,0.044206164,-0.451803393,0.059495857,-0.147900999,-0.634248022,0.031368339,0.167577,-0.109944054,-0.432230318,0.007571134,0.056203379,240.65,0,0
10,51788,-0.677871124,1.290348787,0.761161514,0.190008431,0.445556299,-0.455442893,0.64699953,-0.139510208,-0.189502383,0.113162675,-0.845415753,-0.227889528,0.660277305,-0.634023509,1.262244726,0.26075438,-0.141721142,0.162866564,0.891843218,0.237031146,-0.282024412,-0.558458086,-0.080502075,-0.497962862,-0.642267943,0.06936056,-0.334850733,-0.282458404,1.98,0,0
11,164,-0.433211486,1.020835125,2.019730198,3.00326068,0.031307656,0.187063045,0.850856483,-0.143932449,-0.918042964,0.886323094,-0.811858292,-0.338453439,-0.064504281,-0.275189337,0.055224685,-0.646152559,0.313931819,-0.295943212,1.177882592,0.471102989,-0.177297913,-0.180259507,0.00776031,0.382658023,-0.187192964,0.100067113,0.204038588,-0.018150303,65.26,0,0
12,167244,2.03250026,0.202437591,-1.4808164,0.523640686,0.245648928,-1.074810891,0.214853916,-0.271607098,0.381489554,-0.401806199,0.022026098,0.601980214,0.475605898,-0.908858723,0.160104748,0.086226251,0.685317615,-0.62404232,-0.213197557,-0.14813008,-0.320143004,-0.785925242,0.403912356,1.00632558,-0.323446922,0.143748557,-0.055398442,-0.024939737,0.89,0,0
13,88110,1.986752667,0.135855452,-1.71971719,1.20749796,0.633532553,-0.632683217,0.549956108,-0.2547979,-0.03751043,0.421957193,0.433611046,0.907746999,-0.283137679,0.712277431,-1.194237556,-0.445939569,-0.496751446,-0.056334329,0.185978466,-0.256423639,0.087051027,0.42063472,-0.06504297,-0.389236723,0.467760202,-0.487801825,-0.021036755,-0.073523958,20.06,0,0
14,52327,-3.584938252,-2.28505705,-0.128601349,0.156832489,-2.79445047,0.529095207,1.364036361,0.795730014,0.395494254,-1.346626796,0.211038545,0.660433314,-0.893406303,0.299450665,-1.491003167,0.889409249,-0.134872422,0.298153031,0.100631003,-0.127997618,-0.051170019,-0.056222438,1.341252172,0.383729371,-0.668330938,0.66183011,0.552883524,-0.760870471,550.2,0,0
15,33750,1.278546575,0.552545002,-0.711842411,0.928630142,0.607019019,-0.224316879,0.137970931,0.002670978,-0.18899174,-0.381078288,0.61571252,-0.003315898,-0.387215412,-0.831017715,0.495141545,1.062591171,0.025893637,1.39968622,0.149322692,-0.087742281,-0.08235237,-0.21898735,-0.270854432,-0.972154411,0.800568924,-0.270437345,0.023529965,0.028090846,1,0,0
