,Unnamed: 0,Observation, Year, Month, Day, Date, Latitude, Longitude, Zonal Winds, Meridional Winds, Humidity, Air Temp, Sea Surface Temp,Outlier
0,72389,72390,92,7,21,920721,-2.04,-124.9,-6.2,1.2,87.1,25.21,24.93,0
1,80420,80421,98,1,6,980106,-2,-154.99,4.7,-1.4,81.5,28.53,29.65,0
2,29590,29591,96,3,21,960321,-0.03,-170.04,-6.3,-0.1,82.2,26.09,26.39,0
3,44472,44473,94,8,9,940809,1.95,-125.07,-5.1,3.4,72.5,25.18,26.11,0
4,73247,73248,94,11,26,941126,-2.1,-124.88,-7.5,0.3,82.4,25.86,26.17,0
5,64020,64021,96,8,19,960819,1.97,-170.02,-7.1,-1.3,79.2,27.93,28.18,0
6,132082,132083,94,4,26,940426,-5.01,156.03,-5,1.7,82.7,27.68,29.47,0
7,124518,124519,93,1,3,930103,-5.04,-124.9,-5,0.2,85.9,23.45,25.5,0
8,77455,77456,95,6,28,950628,-2.01,-139.95,-5.4,-1.3,87.7,26.06,26.24,0
9,114584,114585,98,5,2,980502,5.03,165.03,-6,-2.9,82.4,28.31,28.54,0
10,44146,44147,93,9,17,930917,1.98,-124.99,-4.2,3.8,84.1,23.99,24.49,0
11,122029,122030,91,12,2,911202,-4.99,-110,-7.6,1.4,79.3,25.24,25.1,0
12,12967,12968,92,2,10,920210,0.02,-140.02,-6.2,0.2,77.4,28.3,28.47,0
13,77173,77174,94,9,19,940919,-2,-139.96,-5.4,3.7,82.9,25.98,26.61,0
14,53103,53104,93,2,23,930223,2,-155.04,-7.4,1,84.8,26.27,26.65,0
15,101997,101998,94,4,13,940413,5.01,-140.01,-5.3,-0.3,86.2,27.7,28.21,0
16,9641,9642,96,9,6,960906,-0.2,-124.33,-5.4,0.6,73.9,23.77,23.6,0
17,161824,161825,96,3,25,960325,-8.06,-109.93,-6.3,1.6,90.6,26.39,27.17,0
18,9128,9129,95,4,12,950412,-0.25,-124.4,-3.1,-0.7,86.2,25.62,26,0
19,116033,116034,96,1,2,960102,4.98,-169.98,-5.2,1.2,79.9,26.91,27.82,0
20,168592,168593,96,8,18,960818,-8.04,164.84,-6.7,-0.7,82,28.9,29.23,0
21,24589,24590,92,11,6,921106,0.26,165,1.8,5.8,75.4,28.87,29.62,0
22,136585,136586,97,6,13,970613,-5,165.21,-0.6,4.1,68.9,28.47,29.32,0
23,92343,92344,95,12,23,951223,-1.99,-94.99,-2,3.3,95.1,21.85,21.74,0
24,4073,4074,93,5,23,930523,-0.03,-109.96,-4.4,-0.4,88.3,26.65,26.58,0
25,71291,71292,95,10,16,951016,-2,-110,-5.4,2.1,88.3,22.16,21.99,0
26,33115,33116,97,10,16,971016,-0.01,-179.87,3.9,-0.6,78.6,28.49,29.22,0
27,14079,14080,95,2,26,950226,0.02,-139.99,-6.6,-0.3,81.7,25.96,26.43,0
28,128433,128434,97,5,15,970515,-4.99,-139.9,-7.3,0.1,74.8,28.13,28.38,0
29,54083,54084,96,3,14,960314,2.05,-154.94,-5.6,-2.5,79,26.23,26.61,0
30,21676,21677,92,10,16,921016,0,157.49,-0.1,2.8,82.4,27.86,30.21,0
31,41508,41509,92,1,27,920127,2.03,-110.08,0.4,-1.5,86.7,25.73,27.08,0
32,129842,129843,94,4,24,940424,-4.99,-154.97,-2,-3.2,68.9,28.93,29.76,0
33,132002,132003,94,2,5,940205,-5.01,156.04,0.4,0,72.2,29.31,30.41,0
34,66848,66849,94,6,6,940606,1.98,-95,-0.5,5,85.6,24.89,25.85,0
35,69944,69945,92,2,7,920207,-2.01,-109.98,-5.9,3.2,87.5,26.33,26.56,0
36,141546,141547,96,10,6,961006,-5.01,-95.09,-6.4,4.5,80.1,20.76,21.22,0
37,129412,129413,93,2,18,930218,-5.01,-154.95,-3.7,-2.8,75.8,27.63,28.49,0
38,81106,81107,93,5,6,930506,-1.97,156,-2.3,4,83.2,28.38,29.17,0
39,100086,100087,96,4,5,960405,4.99,136.98,-0.7,2.7,70.7,28.57,29.21,0
40,162387,162388,97,10,9,971009,-8.05,-109.93,-7.7,1,79.4,25.81,26.17,0
41,165347,165348,93,11,18,931118,-8.28,-154.98,-1.5,-3,84.9,27.93,29.44,0
42,25056,25057,94,3,23,940323,0,165.03,-3.4,-5,78,28.45,28.65,0
43,71005,71006,95,1,3,950103,-2,-109.99,-5.1,3.8,89.8,25.11,25.2,0
44,102907,102908,96,10,9,961009,4.87,-139.84,-4.2,3.2,74.4,27.11,28.06,0
45,173690,173691,96,5,1,960501,-8.02,-95.1,-5.7,4,91.4,25.3,26.75,0
46,96206,96207,95,1,5,950105,5.07,-109.96,-4.4,0,86.4,27,27.38,0
47,146231,146232,95,10,19,951019,8.06,-110.13,-0.2,6.4,85.8,25.96,27.03,0
48,125033,125034,94,11,26,941126,-4.99,-124.9,-7,2.1,79.9,25.98,26.43,0
49,144473,144474,90,1,5,900105,6.98,-147.17,-4.8,0.8,85.7,26.11,27.29,0
50,123747,123748,97,7,11,970711,-4.99,-110.02,-9.1,0.6,78.3,25.93,26.84,0
51,165433,165434,94,2,12,940212,-8.28,-154.99,-7.4,-0.8,84,29.03,29.24,0
52,98917,98918,96,11,23,961123,5.12,-124.88,-5.1,3.9,84.4,26.18,27.23,0
53,28683,28684,93,9,26,930926,-0.04,-170.04,-3.2,2.5,79,28.23,28.61,0
54,125810,125811,97,10,29,971029,-5.02,-124.94,-6.7,2.3,77.7,27.55,28.01,0
55,85709,85710,94,10,2,941002,-1.94,164.37,1.3,-1,80.4,27.72,29,0
56,8236,8237,92,11,1,921101,-0.04,-124.38,-6,0.5,91.5,23.7,23.54,0
57,162043,162044,96,10,30,961030,-8.06,-109.92,-5.5,2.7,70.7,24.2,23.75,0
