,Time,Rad Flow,Fpv Close,Fpv Open,High,Bypass,BpvClose,BpvOpen,Class,Outlier
0,55,0,88,4,54,0,32,33,2,0
1,44,0,86,0,44,23,43,42,0,0
2,45,-1,79,0,44,-15,33,35,2,0
3,37,-3,81,0,36,-14,43,44,2,0
4,45,-4,88,0,46,11,43,42,0,0
5,45,0,77,0,46,24,31,30,0,0
6,40,5,85,-1,38,0,45,46,2,0
7,50,-5,77,0,50,0,27,28,0,0
8,37,0,79,0,6,-1,43,74,32,0
9,41,0,76,0,42,25,35,35,0,0
10,47,5,88,2,46,0,40,41,0,0
11,37,-4184,106,40,34,-10,69,72,4,0
12,53,0,82,1,54,0,29,28,0,0
13,37,0,80,0,20,0,43,59,16,0
14,47,-5,81,0,46,0,33,34,0,0
15,44,0,86,2,44,5,43,42,0,0
16,42,0,83,0,42,0,42,42,0,0
17,38,-4,106,0,38,0,68,67,0,0
18,56,0,86,0,54,-6,31,32,2,0
19,37,0,96,0,20,3,59,75,16,0
20,45,0,86,-8,44,-2,40,42,2,0
21,49,0,95,8,46,-6,46,48,2,0
22,37,-5,106,0,34,0,69,72,2,0
23,37,0,75,0,26,9,38,49,12,0
24,37,0,79,-4,26,0,42,54,12,0
25,37,-2,76,0,20,-6,39,55,16,0
26,83,5,87,0,-40,1,4,128,124,0
27,51,0,83,0,52,24,32,31,0,0
28,37,0,103,0,18,-13,66,85,20,0
29,49,0,77,0,46,-12,28,30,2,0
30,37,0,80,0,16,-18,43,65,22,0
31,49,1,90,0,50,11,42,41,0,0
32,37,0,104,0,16,-19,67,88,22,0
33,37,0,82,0,10,16,45,72,26,0
34,44,0,86,8,44,6,42,42,0,0
35,58,-4,108,0,56,0,50,51,0,0
36,37,0,106,84,34,-10,69,72,4,0
37,47,3,95,3,46,0,48,49,0,0
38,37,0,80,0,20,28,43,59,16,0
39,53,0,83,0,52,-20,30,32,2,0
40,39,5,106,0,38,0,68,67,0,0
41,43,-3,77,0,42,-9,34,36,2,0
42,47,4,80,0,46,0,33,34,0,0
43,37,0,76,144,20,0,40,55,16,0
44,41,0,81,0,38,-29,39,42,2,0
45,43,0,83,0,44,30,40,39,0,0
46,37,0,79,-2,0,0,42,79,36,0
47,45,0,86,-2,44,-12,40,42,2,0
48,53,1,81,0,54,9,28,26,0,0
49,42,0,76,-1,42,-2,34,35,2,0
50,40,-2,86,0,38,0,46,48,2,0
51,37,0,77,0,16,-26,41,62,22,0
52,43,0,77,0,42,-3,34,36,2,0
53,43,0,76,17,42,-5,33,35,2,0
54,44,0,83,0,44,1,38,39,0,0
55,37,0,91,6,6,0,53,86,32,0
56,56,0,95,-3,56,14,40,39,0,0
57,47,-2,77,0,46,0,30,30,0,0
58,37,-1,78,-3,12,1,41,65,24,0
59,37,0,77,0,36,529,39,41,2,0
60,37,0,76,0,20,-5,40,55,16,0
61,53,0,89,6,54,0,36,35,0,0
62,37,0,106,0,28,12,68,77,8,0
63,43,4,88,0,42,0,45,46,2,0
64,55,0,83,6,54,0,28,29,0,0
65,45,1,76,0,46,29,30,29,0,0
66,42,-12,76,0,42,0,34,35,2,0
67,37,0,79,0,38,28,41,40,0,0
68,37,4,75,0,34,0,37,41,4,0
69,37,2,77,0,-22,10,40,101,60,0
70,45,-1,83,0,46,3,37,36,0,0
71,42,0,80,-2,42,-4,38,39,0,0
72,44,1,86,0,42,-17,42,44,2,0
73,41,0,87,0,38,-1,46,48,2,0
74,37,0,78,0,-6,-18,42,86,44,0
75,37,0,80,3,10,0,43,70,26,0
76,39,0,77,-5,38,0,38,38,0,0
77,47,0,81,-3,46,0,33,34,0,0
78,53,0,88,0,52,-8,35,37,2,0
79,37,0,76,7,20,-1,40,55,16,0
80,49,1,81,0,50,12,33,32,0,0
81,49,0,86,0,50,9,38,37,0,0
82,49,-1,100,-2,50,16,52,51,0,0
83,53,0,88,0,52,-22,35,37,2,0
84,47,-2,90,7,46,0,43,44,0,0
85,41,0,86,3,42,7,45,45,0,0
86,39,1,83,-6,38,0,43,44,0,0
87,63,2,110,1,62,0,47,48,0,0
88,41,0,79,0,42,8,38,37,0,0
89,56,0,85,0,54,-10,29,31,2,0
90,38,0,82,0,38,9,44,43,0,0
91,49,1,82,0,50,15,33,33,0,0
92,37,0,79,0,36,10,43,43,0,0
93,48,3,77,-7,46,0,29,30,2,0
94,46,0,84,0,46,6,38,37,0,0
95,45,0,85,0,44,1010,41,41,0,0
96,46,2,76,0,46,4,30,29,0,0
97,45,0,76,0,46,21,30,29,0,0
98,37,0,76,5,28,-2,40,48,8,0
99,49,0,95,0,50,12,46,46,0,0
100,41,0,77,2,42,0,36,35,0,0
101,48,0,87,0,46,-5,39,41,2,0
102,53,0,83,0,52,-10,30,32,2,0
103,43,-5,86,0,44,17,43,42,0,0
104,37,0,80,0,18,31,43,62,18,0
105,102,0,103,-1,72,20,1,31,30,0
106,42,5,79,0,42,0,36,37,2,0
107,46,2,78,0,46,11,32,32,0,0
108,42,0,86,3,42,0,45,45,0,0
109,40,-1,81,0,38,0,41,42,2,0
110,53,0,88,0,54,1,35,34,0,0
111,41,3,84,0,42,12,43,43,0,0
112,41,0,82,-1,42,2,41,41,0,0
113,37,0,77,-1,20,-23,40,56,16,0
114,37,0,76,0,30,16,40,45,6,0
115,66,0,109,0,64,-12,43,45,2,0
116,55,0,96,0,54,20,41,42,2,0
117,37,0,78,0,-4,-12,42,83,42,0
118,48,0,88,1,46,-2,40,42,2,0
119,56,2,79,0,56,22,23,22,0,0
120,49,0,78,0,46,-17,29,32,2,0
121,37,0,80,0,24,9,43,57,14,0
122,37,0,103,0,20,-8,66,82,16,0
123,37,0,81,0,12,-13,44,68,24,0
124,57,0,81,8,56,0,24,24,0,0
125,37,-4,83,0,36,-11,46,47,2,0
126,37,0,104,0,18,-5,67,86,18,0
127,45,2,81,0,44,-2,36,37,2,0
128,47,-3,88,0,46,0,41,42,0,0
129,48,3,80,0,46,0,32,34,2,0
130,49,0,95,0,50,4,47,46,0,0
131,52,1,81,-2,52,0,29,30,0,0
132,44,2,79,0,42,-18,35,37,2,0
133,37,-1,77,-3,36,-5,40,41,0,0
134,56,-1,86,0,56,0,30,30,0,0
135,37,-203,106,0,36,8,69,69,0,0
136,50,0,77,-6,50,0,27,28,0,0
137,37,0,77,0,-6,-1,41,85,44,0
138,39,0,97,4,38,0,58,59,0,0
139,37,0,79,0,12,6,43,66,24,0
140,42,0,84,-2,42,0,42,43,0,0
141,37,0,80,0,18,0,43,62,18,0
142,41,-2,97,0,38,-6,57,59,2,0
143,45,0,102,0,46,12,57,56,0,0
144,37,0,77,0,34,0,40,44,4,0
145,56,0,81,4,56,0,24,24,0,0
146,53,3,86,0,54,3,32,32,0,0
147,66,0,113,0,64,0,47,48,0,0
148,50,0,85,0,50,0,36,36,0,0
149,37,0,77,3,30,16,41,46,6,0
150,37,0,79,0,26,-2,42,53,12,0
151,46,-4,81,0,46,0,34,34,0,0
152,37,0,108,-6,36,0,70,71,2,0
153,37,0,76,0,34,-25,40,43,2,0
154,55,2,79,0,54,0,23,24,2,0
155,55,0,87,4,54,0,32,33,2,0
156,37,0,79,0,10,4,42,68,26,0
157,43,-2,81,0,42,0,38,39,2,0
158,48,-2,77,8,46,0,29,30,2,0
159,82,0,86,0,-10,20,3,96,92,0
160,56,-1,96,0,56,6,40,39,0,0
161,37,0,82,-3,36,-13,45,46,2,0
162,41,2,83,0,42,29,42,42,0,0
163,46,0,82,0,44,-15,36,38,2,0
164,37,0,77,-2,36,0,40,41,0,0
165,37,1,97,0,34,18,60,64,4,0
166,37,0,90,-1,20,31,53,70,16,0
167,44,1,76,0,42,-27,32,35,2,0
168,37,0,76,0,38,6,39,37,0,0
169,48,-4,86,0,46,-2,37,39,2,0
170,45,0,109,0,44,-10,64,66,2,0
171,37,0,106,0,24,0,69,82,14,0
172,56,0,96,0,56,9,40,39,0,0
173,37,0,77,0,-10,-5,41,88,46,0
174,41,0,86,3,38,-5,46,48,2,0
175,52,-2,90,-1,52,-1,37,38,0,0
176,37,0,93,0,16,7,55,77,22,0
177,37,0,103,0,20,5,66,82,16,0
178,56,-1,85,0,56,1,29,28,0,0
179,75,-5,79,-6,-40,0,4,121,116,0
180,41,1,78,0,42,5,37,37,0,0
181,44,0,95,0,44,8,52,51,0,0
182,37,0,78,0,36,29,41,42,0,0
183,47,0,86,3,46,0,39,39,0,0
184,42,-2,87,0,42,0,45,46,2,0
185,39,-7,91,0,6,20,51,86,34,0
186,37,0,80,-6,24,0,43,57,14,0
187,56,0,96,-6,54,18,40,42,2,0
188,39,1,78,4,38,0,39,39,0,0
189,43,-2,79,0,44,27,36,35,0,0
190,44,1,84,0,44,15,40,40,0,0
191,50,5,84,0,50,0,34,35,2,0
192,49,0,77,0,46,-10,28,30,2,0
193,55,-1,83,0,56,29,28,26,0,0
194,53,0,77,0,52,-9,25,26,2,0
195,55,-2,80,0,54,-5,25,26,2,0
196,38,0,102,0,36,31,65,66,2,0
197,42,4,77,-7,42,0,35,35,0,0
198,43,-1,85,0,42,-14,42,44,2,0
199,41,0,78,0,42,30,37,37,0,0
200,37,0,80,0,30,13,43,49,6,0
201,37,0,76,1,18,0,39,57,18,0
202,43,-4,79,0,42,0,36,37,2,0
203,53,5,86,0,54,20,33,32,0,0
204,49,0,77,0,50,8,28,28,0,0
205,40,-4,81,0,38,0,40,42,2,0
206,41,0,79,0,42,21,38,37,0,0
207,49,0,84,0,50,13,35,35,0,0
208,46,0,90,0,46,5,44,44,0,0
209,37,0,79,0,10,20,42,68,26,0
210,48,-2,86,0,46,-1,39,40,2,0
211,50,-1,87,-4,50,0,37,38,0,0
212,37,0,76,-5,28,3,39,47,8,0
213,49,0,83,-2,46,-10,34,37,2,0
214,43,0,75,0,44,14,32,31,0,0
215,49,3,88,0,46,0,39,41,2,0
216,37,0,76,-3,30,11,39,45,6,0
217,45,0,85,0,44,-24,40,41,2,0
218,48,0,77,0,50,26,28,28,0,0
219,58,3,86,0,56,0,29,30,0,0
220,51,0,87,-3,52,1,36,35,0,0
221,38,3,83,-1,38,-1,44,44,0,0
222,45,1,88,0,44,-4,42,44,2,0
223,46,0,77,0,46,-1,31,30,0,0
224,51,-1,86,0,50,-16,36,37,2,0
225,43,0,79,0,44,20,35,35,0,0
226,38,0,76,0,38,4,38,37,0,0
227,63,1,110,0,62,0,47,48,0,0
228,37,0,106,0,24,-4,69,83,14,0
229,37,0,76,0,24,-9,40,53,14,0
230,56,-2,87,0,56,13,31,30,0,0
231,41,0,77,0,42,5,37,36,0,0
232,37,0,75,-6,20,0,38,54,16,0
233,37,0,79,0,36,-4,42,43,2,0
234,45,1,86,3,44,0,42,42,0,0
235,37,0,84,0,24,-14,47,61,14,0
236,53,0,81,0,52,-10,28,30,2,0
237,41,0,81,0,38,-9,40,42,2,0
238,55,0,108,0,54,-2,53,54,2,0
239,48,5,81,2,46,0,33,34,2,0
240,53,-4,78,0,54,8,25,24,0,0
241,44,5,95,0,44,0,51,51,0,0
242,43,0,86,0,42,-9,42,44,2,0
243,37,-318,105,-2,36,-4,68,69,0,0
244,56,0,79,0,54,-30,22,24,2,0
245,49,0,107,0,46,-14,58,60,2,0
246,52,0,78,-3,52,-4,26,26,0,0
247,56,0,96,-2,54,12,40,42,2,0
248,36,-1,80,0,36,0,44,44,0,0
249,47,0,80,-6,46,0,33,34,0,0
250,37,0,108,0,36,20,71,72,0,0
251,37,0,84,0,28,-6,47,55,8,0
252,45,0,86,0,44,-24,41,42,2,0
253,45,0,89,1,46,20,44,42,0,0
254,37,0,79,4,10,0,42,69,26,0
255,41,-3,77,0,38,-15,36,38,2,0
256,38,3,77,0,38,0,39,38,0,0
257,37,1,76,-1,30,-2,40,45,6,0
258,44,-1,76,0,42,-27,32,34,2,0
259,46,0,84,0,44,-30,39,41,2,0
260,43,1,86,0,42,-6,42,44,2,0
261,43,0,83,-2,42,-4,40,42,2,0
262,40,2,79,8,38,0,38,40,2,0
263,44,3,77,0,44,14,34,34,0,0
264,46,0,87,0,46,9,41,41,0,0
265,81,0,84,-1,-20,-20,4,105,102,0
266,45,3,83,0,44,-6,37,39,2,0
267,50,-4,79,3,50,0,28,30,2,0
268,42,-3,88,0,42,0,46,46,0,0
269,37,0,75,0,34,0,38,41,2,0
270,43,0,81,0,42,-9,38,40,2,0
271,44,-1,79,-3,44,-5,35,35,0,0
272,44,2,82,0,42,-15,38,41,2,0
273,42,0,81,-2,42,-3,39,39,0,0
274,37,0,82,0,30,-6,45,51,6,0
275,37,0,106,0,34,13,69,73,4,0
276,49,0,87,0,50,27,38,38,0,0
277,44,1,87,-1,44,1,43,43,0,0
278,37,0,77,0,26,22,40,51,12,0
279,37,1,81,5,24,0,43,57,14,0
280,45,0,88,-4,44,0,43,44,2,0
281,37,2,77,0,28,0,40,48,8,0
282,39,5,86,0,38,0,47,48,0,0
283,44,0,86,-1,44,0,42,42,0,0
284,49,0,81,0,50,1,32,32,0,0
285,37,0,76,4,18,-4,40,58,18,0
286,55,0,88,0,54,0,34,34,0,0
287,53,0,82,0,54,14,29,28,0,0
288,41,-1,100,0,42,0,59,59,0,0
289,53,-3,79,0,52,-16,26,27,2,0
290,37,0,76,14,20,-3,40,55,16,0
291,56,0,97,0,56,31,41,40,0,0
292,37,0,76,-3,28,-3,39,47,8,0
293,52,-2,86,0,52,0,34,34,0,0
294,46,0,81,0,44,-4,35,37,2,0
295,37,0,106,0,34,28,69,73,4,0
296,45,-5,79,0,44,-21,33,35,2,0
297,41,0,79,5,42,1,38,38,0,0
298,37,0,93,-2,12,0,56,81,24,0
299,52,2,80,5,52,0,28,28,0,0
300,38,-1,83,0,38,0,45,44,0,0
301,103,0,104,3,70,0,1,35,34,0
302,56,1,79,0,54,-13,24,25,2,0
303,48,0,77,-5,46,0,29,31,2,0
304,37,0,77,0,-20,27,41,98,58,0
305,46,0,88,4,46,0,42,41,0,0
306,53,0,85,0,52,-9,32,33,2,0
307,59,0,86,0,56,-4,28,30,2,0
308,43,0,76,0,42,-8,33,35,2,0
309,47,2,83,-1,46,0,36,36,0,0
310,57,-3,81,0,56,0,25,24,0,0
311,55,1,91,0,54,-3,35,37,2,0
312,37,0,77,8,24,10,41,54,14,0
313,37,0,77,0,18,7,41,59,18,0
314,46,0,75,-1,46,-2,29,28,0,0
315,46,0,78,-1,46,1,32,32,0,0
316,37,0,75,-1,28,21,38,46,8,0
317,54,-3,88,0,54,0,34,33,0,0
318,41,-2,80,0,42,18,39,39,0,0
319,37,0,92,8,8,7,55,84,30,0
320,37,0,98,0,28,-30,61,70,8,0
321,47,1,85,-5,46,0,38,39,0,0
322,37,0,79,-5,34,0,42,45,2,0
323,45,1,89,0,44,0,44,45,0,0
324,44,1,77,0,42,-28,34,36,2,0
325,43,0,79,-6,42,0,35,37,2,0
326,51,0,77,0,52,3,26,25,0,0
327,37,0,83,6,34,0,45,49,4,0
328,49,3,80,0,50,4,31,31,0,0
329,41,2,93,0,42,31,53,52,0,0
330,55,0,81,-3,54,-8,25,26,2,0
331,40,5,77,3,38,0,37,39,2,0
332,41,1,78,0,42,1,37,37,0,0
333,43,0,79,0,42,-7,35,37,2,0
334,42,0,86,8,42,0,44,45,0,0
335,37,1,90,0,20,7,53,70,16,0
336,49,-1,79,0,50,11,30,30,0,0
337,51,0,81,0,50,-19,29,32,2,0
338,37,-1,76,0,38,14,39,37,0,0
339,43,0,82,0,44,25,39,38,0,0
340,50,0,107,-3,50,0,57,58,0,0
341,44,0,81,0,42,-24,37,39,2,0
342,37,0,79,1,12,-4,43,66,24,0
343,49,0,106,-2,50,0,57,57,0,0
344,47,0,94,4,46,0,47,48,0,0
345,44,0,75,0,42,-27,31,34,2,0
346,48,-1,89,-3,46,-6,41,42,2,0
347,37,0,77,0,-24,0,41,103,62,0
348,46,0,81,7,46,6,35,35,0,0
349,37,0,103,0,20,12,66,82,16,0
350,37,2,106,-1,36,0,69,70,0,0
351,48,0,85,1,46,0,37,39,2,0
352,37,0,81,0,8,-1,44,73,28,0
353,41,2,81,0,38,-20,39,42,2,0
354,48,-4,86,0,50,30,38,37,0,0
355,45,0,90,-2,44,0,45,46,2,0
356,43,5,88,0,42,0,45,46,2,0
357,37,0,74,0,28,3,38,46,8,0
358,37,-4,106,0,36,0,70,70,0,0
359,46,4,77,0,44,-22,32,34,2,0
360,37,-5,81,0,36,0,44,44,0,0
361,45,-2,106,-4,44,0,61,62,2,0
362,53,2,81,0,52,-4,28,30,2,0
363,44,-1,87,0,44,1,43,43,0,0
364,41,-1,108,0,42,10,67,67,0,0
365,41,0,81,8,38,-27,39,42,2,0
366,56,1,81,0,54,-13,25,26,2,0
367,45,-1,76,0,44,-27,31,32,2,0
368,45,2,81,1,44,0,37,37,0,0
369,44,3,86,3,44,10,43,42,0,0
370,41,-4,79,0,42,1,38,37,0,0
371,45,-4,83,0,44,-2,38,39,2,0
372,37,0,76,-4,18,-3,39,57,18,0
373,37,0,79,4,-6,0,42,86,44,0
374,51,0,81,0,50,-2,30,32,2,0
375,50,-5,86,0,50,0,37,37,0,0
376,37,0,76,-2,30,-17,39,45,6,0
377,42,0,80,0,42,0,38,39,2,0
378,55,-2,83,-7,54,-1,28,29,2,0
379,43,-4,81,6,42,-11,38,40,2,0
380,37,0,79,0,16,1,42,63,22,0
381,45,0,79,1,44,0,34,35,2,0
382,56,2,81,0,54,-17,25,26,2,0
383,43,0,80,0,44,23,37,36,0,0
384,46,1,87,1,46,17,41,41,0,0
385,40,0,88,0,38,0,47,49,2,0
386,37,0,77,0,30,9,40,46,6,0
387,46,0,83,0,46,16,37,37,0,0
388,37,0,102,-2,36,0,64,66,2,0
389,52,0,86,-1,52,-5,33,34,0,0
390,45,-1,79,0,46,6,33,32,0,0
391,45,5,80,0,44,0,35,36,2,0
392,47,3,78,-4,46,0,31,32,0,0
393,47,-3,81,0,46,0,35,35,0,0
394,49,0,77,0,46,-7,28,30,2,0
395,53,0,86,0,54,29,33,32,0,0
396,52,1,77,0,52,0,25,25,0,0
397,46,0,88,3,46,0,41,41,0,0
398,55,0,79,0,54,-3,24,25,2,0
399,49,4,80,0,50,5,31,31,0,0
400,43,0,79,-1,42,-32,36,38,2,0
401,50,5,81,0,50,0,32,32,0,0
402,37,0,76,0,36,27,40,40,0,0
403,41,0,80,0,42,26,39,39,0,0
404,46,0,88,0,46,6,43,42,0,0
405,45,-1,78,0,46,9,33,32,0,0
406,41,0,86,0,38,-30,45,48,2,0
407,43,-1,109,-6,42,-6,66,67,2,0
408,40,2,84,0,38,0,44,46,2,0
409,44,0,77,0,42,-22,34,36,2,0
410,55,0,77,1,54,0,22,23,0,0
411,37,0,77,7,36,3,40,41,0,0
412,56,0,96,0,56,5,40,39,0,0
413,44,3,88,0,44,9,44,44,0,0
414,37,0,95,2,20,0,58,75,16,0
415,51,0,78,-3,52,14,27,26,0,0
416,42,0,83,-4,42,0,41,42,2,0
417,50,2,102,0,50,0,52,53,0,0
418,50,0,78,2,50,0,28,29,2,0
